Learner_ID,Name,Email,Track,Cohort,Enrollment_Date,Program_Status
PB_C1_014,Robert Young,robert.young91@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_015,Jonathan Adeyemi,jonathan.adeyemi76@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_016,Barbara Ahmed,barbara.ahmed36@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_017,Jacob Carter,jacob.carter94@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_018,Jonathan Williams,jonathan.williams58@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_019,Cynthia Yoon,cynthia.yoon97@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_020,Emily Baker,emily.baker26@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_021,Yuki Rao,yuki.rao76@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_022,Kwame Phillips,kwame.phillips25@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_023,Priya Carter,priya.carter66@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_024,Dorothy Brown,dorothy.brown80@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_025,Chidi Martin,chidi.martin96@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C2_001,Barbara Martinez,barbara.martinez95@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_002,Jonathan Edwards,jonathan.edwards13@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_003,Lisa Nguyen,lisa.nguyen81@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_004,Daniel Mitchell,daniel.mitchell74@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_005,Steven Jones,steven.jones34@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_006,Edward Choi,edward.choi94@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_007,Donald Wilson,donald.wilson98@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_008,Lucas Scott,lucas.scott79@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_009,Lucas Flores,lucas.flores20@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_010,Emeka Rogers,emeka.rogers20@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_011,Yuki Chen,yuki.chen90@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_012,Jacob Liu,jacob.liu84@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_013,Brian Harris,brian.harris85@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_014,Valentina Young,valentina.young17@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_015,Nancy Rivera,nancy.rivera55@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_016,Diego Smith,diego.smith15@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_017,Dorothy Wright,dorothy.wright67@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_018,Lisa Hill,lisa.hill29@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_019,Cynthia Wright,cynthia.wright31@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_020,Donald Kumar,donald.kumar40@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_021,Vijay Clark,vijay.clark88@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
PB_C2_022,Carol Mehta,carol.mehta11@email.com,Power BI,Cohort 2,2026-01-05,Ongoing
