Learner_ID,Name,Email,Track,Cohort,Enrollment_Date,Weeks_Completed,Program_Status,Graduation_Status,Certification_Status,Certification_Type,Attendance_Rate,Attendance_Rate_Pct,Average_Assessment_Score,Is_Graduated,Is_Certified,Is_Dropped_Out,Is_Completed
PB_C1_020,Emily Baker,emily.baker26@email.com,Power BI,Cohort 1,2025-10-06,2,Completed,Dropped Out,Not Certified,,0.18,18.0,61.58,False,False,True,True
PB_C1_021,Yuki Rao,yuki.rao76@email.com,Power BI,Cohort 1,2025-10-06,10,Completed,Graduated,Not Certified,,0.56,56.0,58.21,True,False,False,True
PB_C1_022,Kwame Phillips,kwame.phillips25@email.com,Power BI,Cohort 1,2025-10-06,10,Completed,Graduated,Certified,Power BI Data Analyst Associate,0.9,90.0,91.01,True,True,False,True
PB_C1_023,Priya Carter,priya.carter66@email.com,Power BI,Cohort 1,2025-10-06,10,Completed,Graduated,Not Certified,,0.58,58.0,61.92,True,False,False,True
PB_C1_024,Dorothy Brown,dorothy.brown80@email.com,Power BI,Cohort 1,2025-10-06,10,Completed,Graduated,Certified,Power BI Data Analyst Associate,0.88,88.0,89.69,True,True,False,True
PB_C1_025,Chidi Martin,chidi.martin96@email.com,Power BI,Cohort 1,2025-10-06,5,Completed,Dropped Out,Not Certified,,0.36,36.0,52.37,False,False,True,True
PB_C2_001,Barbara Martinez,barbara.martinez95@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.9474,94.74,92.28,False,False,False,False
PB_C2_002,Jonathan Edwards,jonathan.edwards13@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.8158,81.58,70.38,False,False,False,False
PB_C2_003,Lisa Nguyen,lisa.nguyen81@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.9474,94.74,87.51,False,False,False,False
PB_C2_004,Daniel Mitchell,daniel.mitchell74@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.9737,97.37,92.24,False,False,False,False
PB_C2_005,Steven Jones,steven.jones34@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,1.0,100.0,84.62,False,False,False,False
PB_C2_006,Edward Choi,edward.choi94@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.6053,60.53,75.0,False,False,False,False
PB_C2_007,Donald Wilson,donald.wilson98@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.7632,76.32,77.63,False,False,False,False
PB_C2_008,Lucas Scott,lucas.scott79@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.8158,81.58,82.04,False,False,False,False
PB_C2_009,Lucas Flores,lucas.flores20@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.4211,42.11,61.48,False,False,False,False
PB_C2_010,Emeka Rogers,emeka.rogers20@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.4474,44.74,52.46,False,False,False,False
PB_C2_011,Yuki Chen,yuki.chen90@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.4737,47.37,70.58,False,False,False,False
PB_C2_012,Jacob Liu,jacob.liu84@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.9737,97.37,82.64,False,False,False,False
PB_C2_013,Brian Harris,brian.harris85@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,1.0,100.0,83.42,False,False,False,False
PB_C2_014,Valentina Young,valentina.young17@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.9474,94.74,91.34,False,False,False,False
PB_C2_015,Nancy Rivera,nancy.rivera55@email.com,Power BI,Cohort 2,2026-01-05,5,Ongoing,Dropped Out,Not Certified,,0.5,50.0,51.69,False,False,True,False
PB_C2_016,Diego Smith,diego.smith15@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.8684,86.84,69.82,False,False,False,False
PB_C2_017,Dorothy Wright,dorothy.wright67@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,1.0,100.0,83.23,False,False,False,False
PB_C2_018,Lisa Hill,lisa.hill29@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.6842,68.42,84.42,False,False,False,False
PB_C2_019,Cynthia Wright,cynthia.wright31@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.6316,63.16,57.91,False,False,False,False
PB_C2_020,Donald Kumar,donald.kumar40@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.6053,60.53,63.5,False,False,False,False
PB_C2_021,Vijay Clark,vijay.clark88@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.7895,78.95,86.79,False,False,False,False
PB_C2_022,Carol Mehta,carol.mehta11@email.com,Power BI,Cohort 2,2026-01-05,7,Ongoing,In Progress,Pending,,0.7105,71.05,77.98,False,False,False,False
