Date,Year,Month,Month_Name,YearMonth,Day,Week,Learner_ID,Cohort,Track,Name,Participation_Score,Comments_Made,Questions_Asked,Attended_Session
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,10.0,15,6,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,4.0,4,0,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,0.0,0,0,False
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,3.2,9,3,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,2.6,6,2,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,6.8,5,2,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,2.5,4,0,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,10.0,7,2,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,7.1,13,6,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,5.1,4,1,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,3.5,5,0,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,8.5,7,6,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,0.0,0,0,False
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,9.3,13,5,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,0.0,0,0,False
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,10.0,16,5,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,9.4,0,8,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,2.2,3,1,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,0.0,0,0,False
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,5.6,7,0,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,8.5,3,4,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,2.7,0,2,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,4.5,1,1,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,0.0,0,0,False
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,0.0,0,0,False
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,7.3,6,4,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,3.4,2,2,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,5.6,2,3,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,10.0,3,7,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,2.0,4,2,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,4.6,6,2,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,6.2,0,3,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,4.7,0,2,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,7.4,5,4,True
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,0.0,0,0,False
2025-10-15,2025,10,October,2025-10,Wednesday,1,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,9.9,4,2,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,10.0,9,1,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,0.0,0,0,False
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,1.5,3,3,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,4.2,1,7,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,10.0,14,8,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,0.0,0,0,False
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,0.0,0,0,False
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,0.0,0,0,False
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,6.0,5,0,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,6.6,11,2,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,5.2,5,1,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,5.7,1,0,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,10.0,15,3,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,0.0,0,0,False
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,0.0,0,0,False
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,6.9,9,1,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,0.0,0,0,False
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,0.0,0,0,False
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,4.8,7,4,True
2025-10-16,2025,10,October,2025-10,Thursday,1,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,9.2,8,0,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,10.0,3,4,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,4.1,2,0,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,0.0,0,0,False
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,7.5,2,5,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,10.0,16,5,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,0.0,0,0,False
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,0.0,0,0,False
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,3.5,10,0,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,2.9,5,0,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,0.0,0,0,False
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,0.0,0,0,False
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,5.4,9,3,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,8.2,12,6,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,0.0,0,0,False
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,1.9,5,0,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,9.0,1,4,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,0.0,0,0,False
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,7.5,12,1,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,5.0,0,0,True
2025-10-17,2025,10,October,2025-10,Friday,1,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,9.2,16,2,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,9.5,6,1,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,1.9,2,1,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,6.5,4,1,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,8.9,1,2,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,8.5,1,0,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,3.4,0,2,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,0.0,0,0,False
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,4.2,7,4,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,2.7,4,0,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,4.4,7,3,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,6.1,3,0,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,7.3,9,1,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,8.2,6,5,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,4.1,0,1,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,4.8,1,2,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,8.9,6,0,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,0.0,0,0,False
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,0.0,0,0,False
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,5.2,4,4,True
2025-10-20,2025,10,October,2025-10,Monday,2,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,8.7,13,0,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,10.0,16,5,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,1.1,3,0,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,0.0,0,0,False
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,8.9,1,1,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,9.9,8,5,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,4.2,0,2,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,4.8,0,1,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,6.9,4,5,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,1.0,2,1,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,8.1,11,4,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,4.4,1,2,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,0.0,0,0,False
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,7.7,14,7,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,5.3,5,2,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,0.0,0,0,False
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,8.0,16,5,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,4.1,4,0,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,8.5,4,3,True
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,0.0,0,0,False
2025-10-21,2025,10,October,2025-10,Tuesday,2,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,8.8,15,2,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,8.6,13,7,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,3.1,4,0,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,5.4,1,0,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,9.3,15,0,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,8.2,2,4,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,2.6,1,2,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,0.0,0,0,False
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,0.0,0,0,False
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,4.6,5,1,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,6.7,4,5,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,2.9,2,1,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,0.0,0,0,False
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,7.9,1,4,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,1.8,1,0,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,2.5,2,2,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,10.0,11,6,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,5.4,2,1,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,8.4,13,0,True
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,0.0,0,0,False
2025-10-22,2025,10,October,2025-10,Wednesday,2,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,9.9,5,8,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,8.6,4,2,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,0.0,0,0,False
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,1.8,1,0,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,8.3,15,7,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,8.4,6,5,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,0.0,0,0,False
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,0.0,0,0,False
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,4.7,5,3,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,4.9,5,1,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,0.0,0,0,False
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,5.2,1,2,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,0.0,0,0,False
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,10.0,1,6,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,4.6,0,1,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,2.9,3,1,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,6.8,2,2,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,0.0,0,0,False
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,8.1,5,4,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,4.0,1,4,True
2025-10-23,2025,10,October,2025-10,Thursday,2,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,10.0,0,7,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,10.0,15,8,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,3.0,4,0,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,0.0,0,0,False
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,9.3,12,0,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,7.7,14,5,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,5.8,0,1,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,3.2,7,3,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,9.3,8,1,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,4.5,1,0,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,0.0,0,0,False
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,7.9,5,2,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,7.8,1,1,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,8.0,1,0,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,5.0,1,2,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,0.0,0,0,False
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,9.8,8,1,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,6.8,6,4,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,7.6,9,3,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,7.0,7,0,True
2025-10-24,2025,10,October,2025-10,Friday,2,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,10.0,5,7,True
2025-10-27,2025,10,October,2025-10,Monday,3,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,9.3,8,2,True
2025-10-27,2025,10,October,2025-10,Monday,3,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,0.0,0,0,False
